Mukhtar;29;Abib;KOK;01;44;MEN;Helsinki;IN_RESERVE;355;121;476;754;-278;0.1;0.3;0.1;2181.143;
Maria;798;Landén;PS;01;30;WOMEN;Helsinki;IN_RESERVE;65;227;292;395;-103;0.1;0.1;0.1;2169.3;
Mikko;721;Särelä;VIHR;01;42;MEN;Helsinki;IN_RESERVE;179;359;538;370;168;0.2;0.1;0.2;2164.639;
Katrina;47;Harjuhahto-Madetoja;KOK;01;54;WOMEN;Helsinki;IN_RESERVE;162;314;476;331;145;0.1;0.1;0.2;2130.419;
Deek;382;Gurhan;SDP;01;49;MEN;Helsinki;IN_RESERVE;347;70;417;307;110;0.1;0.3;0.0;2126.238;
Sirkku;265;Ingervo;VAS;01;57;WOMEN;Helsinki;IN_RESERVE;168;271;439;788;-349;0.1;0.1;0.1;2121.529;
Riikka;719;Suominen;VIHR;01;39;WOMEN;Helsinki;IN_RESERVE;187;345;532;0;532;0.2;0.2;0.2;2106.135;
Byoma;228;Tamrakar;RKP;01;52;WOMEN;Helsinki;IN_RESERVE;361;89;450;0;450;0.1;0.3;0.0;2092.778;
Maritta;55;Hyvärinen;KOK;01;60;WOMEN;Helsinki;IN_RESERVE;213;254;467;642;-175;0.1;0.2;0.1;2082.0;
Pauliina;668;Lehtinen;VIHR;01;38;WOMEN;Helsinki;IN_RESERVE;125;371;496;374;122;0.2;0.1;0.2;2050.711;
Raine;97;Luomanen;KOK;01;42;MEN;Helsinki;IN_RESERVE;106;341;447;338;109;0.1;0.1;0.2;2035.733;
Mikael;402;Jungner;SDP;01;51;MEN;Helsinki;IN_RESERVE;158;215;373;0;373;0.1;0.1;0.1;2029.591;
René;262;Hursti;VAS;01;64;MEN;Helsinki;IN_RESERVE;207;228;435;807;-372;0.1;0.2;0.1;2003.667;
Ville;743;Ylikahri;VIHR;01;42;MEN;Helsinki;IN_RESERVE;208;288;496;711;-215;0.2;0.2;0.1;1998.128;
Marianna;87;Kupias;KOK;01;25;WOMEN;Helsinki;IN_RESERVE;140;276;416;0;416;0.1;0.1;0.1;1991.478;
Aleksi;823;Niskanen;PS;01;30;MEN;Helsinki;IN_RESERVE;64;186;250;190;60;0.1;0.1;0.1;1972.091;
Tarik;31;Ahsanullah;KOK;01;24;MEN;Helsinki;IN_RESERVE;178;233;411;0;411;0.1;0.1;0.1;1949.106;
Niina;627;Halonen-Malliarakis;VIHR;01;49;WOMEN;Helsinki;IN_RESERVE;131;358;489;0;489;0.2;0.1;0.2;1948.175;
Antti;481;Vuorela;SDP;01;53;MEN;Helsinki;IN_RESERVE;134;239;373;603;-230;0.1;0.1;0.1;1941.348;
Minna;61;Isoaho;KOK;01;50;WOMEN;Helsinki;IN_RESERVE;141;247;388;0;388;0.1;0.1;0.1;1908.5;
Matilda;681;Merenmies;VIHR;01;30;WOMEN;Helsinki;IN_RESERVE;217;259;476;0;476;0.1;0.2;0.1;1900.659;
Otso;273;Kantokorpi;VAS;01;60;MEN;Helsinki;IN_RESERVE;144;256;400;359;41;0.1;0.1;0.1;1898.211;
Karin;210;Palmén;RKP;01;32;WOMEN;Helsinki;IN_RESERVE;103;218;321;111;210;0.1;0.1;0.1;1883.5;
Sanna-Maria;120;Pakkanen;KOK;01;45;WOMEN;Helsinki;IN_RESERVE;106;281;387;0;387;0.1;0.1;0.1;1869.551;
Elisa;380;Gebhard;SDP;01;23;WOMEN;Helsinki;IN_RESERVE;153;199;352;0;352;0.1;0.1;0.1;1860.458;
Suzan;639;Ikävalko;VIHR;01;51;WOMEN;Helsinki;IN_RESERVE;161;305;466;949;-483;0.1;0.1;0.2;1855.405;
Timo;914;Laaninen;KESK;01;62;MEN;Helsinki;NOT_ELECTED;245;222;467;954;-487;0.1;0.2;0.1;1834.8;
Pia;54;Hytönen;KOK;01;46;WOMEN;Helsinki;IN_RESERVE;103;282;385;0;385;0.1;0.1;0.1;1832.16;
Joonas;674;Lyytinen;VIHR;01;40;MEN;Helsinki;NOT_ELECTED;119;326;445;350;95;0.1;0.1;0.2;1812.256;
Toni;748;Ahva;PS;01;23;MEN;Helsinki;IN_RESERVE;71;178;249;143;106;0.1;0.1;0.1;1807.75;
Hannu (Miki);613;Sileoni;KD;01;46;MEN;Helsinki;NOT_ELECTED;75;173;248;0;248;0.1;0.1;0.1;1804.2;
Anu;344;Suoranta;VAS;01;51;WOMEN;Helsinki;IN_RESERVE;155;229;384;368;16;0.1;0.1;0.1;1803.3;
Anna;105;Munsterhjelm;KOK;01;32;WOMEN;Helsinki;NOT_ELECTED;151;223;374;0;374;0.1;0.1;0.1;1796.235;
Heta;484;Välimäki;SDP;01;35;WOMEN;Helsinki;NOT_ELECTED;114;222;336;410;-74;0.1;0.1;0.1;1786.04;
Tuomas;730;Tuure;VIHR;01;29;MEN;Helsinki;NOT_ELECTED;140;287;427;447;-20;0.1;0.1;0.1;1771.068;
Leila;68;Kaleva;KOK;01;40;WOMEN;Helsinki;NOT_ELECTED;133;233;366;0;366;0.1;0.1;0.1;1761.692;
Antti;687;Möller;VIHR;01;37;MEN;Helsinki;NOT_ELECTED;110;309;419;564;-145;0.1;0.1;0.2;1731.711;
Kristiina;60;Ilvonen;KOK;01;38;WOMEN;Helsinki;NOT_ELECTED;96;269;365;195;170;0.1;0.1;0.1;1728.453;
Henrik (Henkka);316;Nyholm;VAS;01;29;MEN;Helsinki;NOT_ELECTED;102;274;376;423;-47;0.1;0.1;0.1;1717.429;
Karita;466;Toijonen;SDP;01;51;WOMEN;Helsinki;NOT_ELECTED;115;192;307;503;-196;0.1;0.1;0.1;1717.346;
Linda;153;Ahlblad;RKP;01;39;WOMEN;Helsinki;NOT_ELECTED;98;174;272;0;272;0.1;0.1;0.1;1712.273;
Lea;133;Saukkonen;KOK;01;59;WOMEN;Helsinki;NOT_ELECTED;118;221;339;654;-315;0.1;0.1;0.1;1696.444;
Seppo;710;Siika-aho;VIHR;01;47;MEN;Helsinki;NOT_ELECTED;82;322;404;0;404;0.1;0.1;0.2;1694.065;
Markku;835;Saarikangas;PS;01;52;MEN;Helsinki;NOT_ELECTED;86;147;233;0;233;0.1;0.1;0.1;1668.692;
Hannele;98;Luukkainen;KOK;01;67;WOMEN;Helsinki;NOT_ELECTED;139;199;338;761;-423;0.1;0.1;0.1;1665.6;
Tino;713;Singh;VIHR;01;45;MEN;Helsinki;NOT_ELECTED;122;276;398;120;278;0.1;0.1;0.1;1658.021;
Susanna;480;Vilkamaa;SDP;01;31;WOMEN;Helsinki;NOT_ELECTED;112;194;306;0;306;0.1;0.1;0.1;1653.741;
Mika-Peter;360;Välipirtti;VAS;01;50;MEN;Helsinki;NOT_ELECTED;91;234;325;0;325;0.1;0.1;0.1;1639.364;
Nelli;20;Ruotsalainen;FP;01;28;WOMEN;Helsinki;IN_RESERVE;109;198;307;0;307;0.1;0.1;0.1;1636.0;
Hanna;100;Lähteenmäki;KOK;01;58;WOMEN;Helsinki;NOT_ELECTED;117;210;327;597;-270;0.1;0.1;0.1;1635.857;
Otto;669;Lehtipuu;VIHR;01;48;MEN;Helsinki;NOT_ELECTED;123;269;392;711;-319;0.1;0.1;0.1;1623.479;
